NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Guarapuava;PR;Soja;30;2854,8;1855,8;0,65;41194,04;1942,48;0,0472;971,24;2010;4109401;7011,50; GRANIZO
Garibaldi;RS;Uva;1;20000;20000;1,00;17000;674,9;0,0397;404,94;2010;4308607;496,30; GRANIZO
Monte Alegre dos Campos;RS;Uva;0;20000;20000;1,00;9800;389,06;0,0397;233,44;2010;4312377;845,74; GRANIZO
Monte Belo do Sul;RS;Uva;10;19837,32;19837,32;1,00;153591,75;5616,28;0,0366;3369,77;2010;4312385;5024,00; QUEDA DE PARREIRAL
Manoel Ribas;PR;Soja;24;3240;2106;0,65;37714,25;1651,38;0,0438;825,69;2010;4114500;389,61; GRANIZO
Garibaldi;RS;Uva;2;22214,29;22214,29;1,00;36249;1325,51;0,0366;795,31;2010;4308607;1120,02; GRANIZO
Nova Roma do Sul;RS;Uva;3;30000;30000;1,00;99000;2199,56;0,0222;1319,74;2010;4313359;1174,95; GRANIZO
Cotiporã;RS;Uva;4;13000;13000;1,00;41976;1534,91;0,0366;920,95;2010;4305959;455,85; GRANIZO
Flores da Cunha;RS;Uva;3;25000;25000;1,00;60000;2381,98;0,0397;1429,19;2010;4308201;9122,40; GRANIZO
Bento Gonçalves;RS;Uva;4;29260,68;29260,68;1,00;98450,99;3908,47;0,0397;2345,08;2010;4302105;545,14; GRANIZO
Veranópolis;RS;Uva;2;18800;18800;1,00;30000;1096,99;0,0366;658,19;2010;4322806;168,42; GRANIZO
